Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
7,480006511,12671,1722344712,30.628311,968.758667,27.519642,5684.846191,6,1,1,0,0,acetone
1,479990353,13204,1722344713,30.425634,968.565735,27.921299,6146.753906,7,1,1,0,0,acetone
2,480026197,13209,1722344713,30.347031,968.229675,27.293644,6956.521973,7,1,1,0,0,acetone
0,480007249,13340,1722344713,30.097269,968.191406,28.062294,5684.846191,7,1,1,0,0,acetone
3,479999824,13353,1722344713,30.630182,968.486145,26.972486,5684.846191,7,1,1,0,0,acetone
4,479999071,13358,1722344713,31.156284,968.296448,26.693855,5684.846191,7,1,1,0,0,acetone
5,480020830,13362,1722344713,31.044912,968.880859,27.391026,5684.846191,7,1,1,0,0,acetone
6,480008288,13367,1722344713,30.908504,969.081543,27.301188,5684.846191,7,1,1,0,0,acetone
7,480006511,13371,1722344713,30.951471,968.706909,27.32115,5684.846191,7,1,1,0,0,acetone
1,479990353,13904,1722344713,30.827427,968.592957,27.680376,6178.798828,8,1,1,0,0,acetone
2,480026197,13909,1722344713,30.740473,968.258179,27.063307,6988.425293,8,1,1,0,0,acetone
0,480007249,14040,1722344713,30.466022,968.201721,28.010571,5684.846191,8,1,1,0,0,acetone
3,479999824,14053,1722344713,31.037405,968.509888,26.694386,5684.846191,8,1,1,0,0,acetone
4,479999071,14058,1722344713,31.578232,968.327942,26.394283,5684.846191,8,1,1,0,0,acetone
5,480020830,14062,1722344713,31.447063,968.881165,27.342089,5684.846191,8,1,1,0,0,acetone
6,480008288,14067,1722344713,31.306484,969.133728,26.906239,5684.846191,8,1,1,0,0,acetone
7,480006511,14071,1722344713,31.336308,968.775391,26.864876,5684.846191,8,1,1,0,0,acetone
0,480007249,14611,1722344714,30.654163,968.246277,27.746096,5684.846191,9,1,1,0,0,acetone
1,479990353,14626,1722344714,31.028324,968.610596,27.428511,6232.956543,9,1,1,0,0,acetone
2,480026197,14642,1722344714,30.937195,968.239685,26.811745,7025.24707,9,1,1,0,0,acetone
3,479999824,14657,1722344714,31.24472,968.51123,26.427732,5684.846191,9,1,1,0,0,acetone
4,479999071,14672,1722344714,31.790455,968.331543,26.241947,5684.846191,9,1,1,0,0,acetone
5,480020830,14687,1722344714,31.651981,968.919067,26.944033,5684.846191,9,1,1,0,0,acetone
6,480008288,14702,1722344714,31.510513,969.165283,26.813299,5684.846191,9,1,1,0,0,acetone
7,480006511,14717,1722344714,31.52626,968.741699,26.765337,5684.846191,9,1,1,0,0,acetone
1,479990353,15422,1722344715,31.171463,968.605286,27.079313,6203.955078,0,1,1,0,0,acetone
2,480026197,15427,1722344715,31.066681,968.250916,26.467968,7029.876953,0,1,1,0,0,acetone
0,480007249,15561,1722344715,30.799658,968.257385,27.47843,5684.846191,0,1,1,0,0,acetone
3,479999824,15570,1722344715,31.419952,968.527893,26.044777,5684.846191,0,1,1,0,0,acetone
4,479999071,15574,1722344715,31.965229,968.309814,25.917749,5684.846191,0,1,1,0,0,acetone
5,480020830,15579,1722344715,31.808233,968.892151,26.662554,5684.846191,0,1,1,0,0,acetone
6,480008288,15583,1722344715,31.669201,969.166443,26.476252,5684.846191,0,1,1,0,0,acetone
7,480006511,15587,1722344715,31.684139,968.772461,26.433779,5684.846191,0,1,1,0,0,acetone
1,479990353,15705,1722344715,30.729488,968.631165,26.907106,57296.328125,1,1,1,0,0,acetone
2,480026197,15709,1722344715,30.683201,968.321777,26.317894,53156.144531,1,1,1,0,0,acetone
0,480007249,15841,1722344715,30.355646,968.237183,27.316214,48948.375,1,1,1,0,0,acetone
3,479999824,15853,1722344715,31.007792,968.548401,25.849749,18401.380859,1,1,1,0,0,acetone
4,479999071,15857,1722344715,31.498333,968.342224,25.755999,31644.005859,1,1,1,0,0,acetone
5,480020830,15862,1722344715,31.354853,968.923096,26.479408,17669.794922,1,1,1,0,0,acetone
6,480008288,15866,1722344715,31.160391,969.173096,26.321161,10302.639648,1,1,1,0,0,acetone
7,480006511,15870,1722344715,31.215429,968.824097,26.238369,11319.419922,1,1,1,0,0,acetone
0,480007249,17101,1722344716,29.583023,968.209595,26.920992,49602.789062,2,1,1,0,0,acetone
1,479990353,17106,1722344716,29.873169,968.599182,26.447298,58756.023438,2,1,1,0,0,acetone
2,480026197,17110,1722344716,29.866436,968.306763,25.842161,55363.320312,2,1,1,0,0,acetone
3,479999824,17254,1722344717,30.168661,968.550049,25.465933,18545.349609,2,1,1,0,0,acetone
4,479999071,17259,1722344717,30.614492,968.295044,25.237936,32024.017578,2,1,1,0,0,acetone
5,480020830,17263,1722344717,30.501886,968.899841,25.913984,18306.636719,2,1,1,0,0,acetone
6,480008288,17267,1722344717,30.306503,969.166626,25.700268,10464.355469,2,1,1,0,0,acetone
7,480006511,17271,1722344717,30.396423,968.805664,25.755974,11627.907227,2,1,1,0,0,acetone
0,480007249,21301,1722344721,29.630686,968.25116,26.495333,50753.371094,3,1,1,0,0,acetone
1,479990353,21306,1722344721,29.827969,968.661255,26.043032,61731.371094,3,1,1,0,0,acetone
2,480026197,21310,1722344721,29.821615,968.334045,25.39628,58155.382812,3,1,1,0,0,acetone
3,479999824,21315,1722344721,30.06254,968.566284,24.994923,18957.345703,3,1,1,0,0,acetone
4,479999071,21319,1722344721,30.499643,968.35553,24.765306,32487.310547,3,1,1,0,0,acetone
5,480020830,21323,1722344721,30.414795,968.952576,25.513773,19161.675781,3,1,1,0,0,acetone
6,480008288,21328,1722344721,30.238499,969.252869,25.354389,10652.463867,3,1,1,0,0,acetone
7,480006511,21332,1722344721,30.35202,968.845703,25.179539,12343.297852,3,1,1,0,0,acetone
0,480007249,22001,1722344721,30.290426,968.235352,26.525869,13646.055664,4,1,1,0,0,acetone
1,479990353,22006,1722344721,30.518549,968.660583,26.048294,17467.248047,4,1,1,0,0,acetone
2,480026197,22010,1722344721,30.488968,968.328247,25.425762,17495.898438,4,1,1,0,0,acetone
3,479999824,22015,1722344721,30.71903,968.560913,25.023022,6258.556641,4,1,1,0,0,acetone
4,479999071,22019,1722344721,31.18874,968.362183,24.790174,9919.405273,4,1,1,0,0,acetone
5,480020830,22023,1722344721,31.085897,968.953857,25.538582,7157.235352,4,1,1,0,0,acetone
6,480008288,22028,1722344721,30.963923,969.236694,25.4154,5684.846191,4,1,1,0,0,acetone
7,480006511,22032,1722344721,31.042746,968.846375,25.178167,5684.846191,4,1,1,0,0,acetone
0,480007249,22701,1722344722,30.518702,968.252869,26.446146,13628.620117,5,1,1,0,0,acetone
1,479990353,22706,1722344722,30.774693,968.660767,25.997965,17553.482422,5,1,1,0,0,acetone
2,480026197,22710,1722344722,30.735493,968.352173,25.347559,17553.482422,5,1,1,0,0,acetone
3,479999824,22714,1722344722,30.97324,968.605652,24.956175,6288.072266,5,1,1,0,0,acetone
4,479999071,22719,1722344722,31.443409,968.35614,24.723076,9891.808594,5,1,1,0,0,acetone
5,480020830,22723,1722344722,31.318991,968.936707,25.47036,7147.643555,5,1,1,0,0,acetone
6,480008288,22727,1722344722,31.208248,969.256531,25.390911,5684.846191,5,1,1,0,0,acetone
7,480006511,22732,1722344722,31.286968,968.883789,25.110378,5684.846191,5,1,1,0,0,acetone
2,480026197,23270,1722344723,30.867472,968.320068,25.249792,17640.574219,6,1,1,0,0,acetone
0,480007249,23401,1722344723,30.646637,968.275391,26.429125,13576.580078,6,1,1,0,0,acetone
1,479990353,23406,1722344723,30.895229,968.661926,25.893702,17582.417969,6,1,1,0,0,acetone
3,479999824,23414,1722344723,31.094172,968.568115,24.954571,6254.886719,6,1,1,0,0,acetone
4,479999071,23418,1722344723,31.575735,968.370361,24.609016,9855.250977,6,1,1,0,0,acetone
5,480020830,23423,1722344723,31.439381,968.959595,25.366486,7186.166504,6,1,1,0,0,acetone
6,480008288,23427,1722344723,31.344269,969.296021,25.233654,5684.846191,6,1,1,0,0,acetone
7,480006511,23432,1722344723,31.40538,968.91272,24.984396,5684.846191,6,1,1,0,0,acetone
1,479990353,23965,1722344723,31.394964,968.639221,25.813658,5984.664062,7,1,1,0,0,acetone
2,480026197,23970,1722344723,31.320679,968.326843,25.160397,6753.904785,7,1,1,0,0,acetone
0,480007249,24101,1722344723,31.100683,968.316406,26.247702,5684.846191,7,1,1,0,0,acetone
3,479999824,24114,1722344723,31.572971,968.613953,24.802427,5684.846191,7,1,1,0,0,acetone
4,479999071,24118,1722344723,32.087566,968.377502,24.550432,5684.846191,7,1,1,0,0,acetone
5,480020830,24123,1722344723,31.949116,968.991943,25.298,5684.846191,7,1,1,0,0,acetone
6,480008288,24127,1722344723,31.82789,969.304993,25.151745,5684.846191,7,1,1,0,0,acetone
7,480006511,24132,1722344723,31.886429,968.93866,24.907583,5684.846191,7,1,1,0,0,acetone
