Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
6,480008288,12947,1722344712,30.565945,981.296204,28.782608,10454.099609,6,1,1,0,0,redidlo
7,480006511,12951,1722344712,30.608576,981.06073,28.658918,16636.339844,6,1,1,0,0,redidlo
1,479990353,13485,1722344713,30.887695,980.874451,28.554285,15647.921875,7,1,1,0,0,redidlo
2,480026197,13489,1722344713,30.757904,980.59375,27.91946,20625.201172,7,1,1,0,0,redidlo
0,480007249,13620,1722344713,30.573889,980.59082,28.54281,11527.37793,7,1,1,0,0,redidlo
3,479999824,13634,1722344713,30.985577,980.837341,27.669239,7369.875488,7,1,1,0,0,redidlo
4,479999071,13638,1722344713,31.196232,980.748352,28.015787,10631.229492,7,1,1,0,0,redidlo
5,480020830,13643,1722344713,31.111511,981.251099,28.526382,9264.621094,7,1,1,0,0,redidlo
6,480008288,13647,1722344713,30.898432,981.348206,28.534149,5684.846191,7,1,1,0,0,redidlo
7,480006511,13651,1722344713,30.92927,981.031799,28.420631,6125.574219,7,1,1,0,0,redidlo
1,479990353,14185,1722344714,31.276936,980.895203,28.339132,17862.126953,8,1,1,0,0,redidlo
2,480026197,14190,1722344714,31.148859,980.595154,27.693739,24210.328125,8,1,1,0,0,redidlo
0,480007249,14320,1722344714,30.955189,980.602661,28.398533,14285.713867,8,1,1,0,0,redidlo
3,479999824,14334,1722344714,31.382931,980.83136,27.433222,8698.015625,8,1,1,0,0,redidlo
4,479999071,14338,1722344714,31.615683,980.765808,27.752861,12057.272461,8,1,1,0,0,redidlo
5,480020830,14343,1722344714,31.516224,981.253479,28.186487,9855.250977,8,1,1,0,0,redidlo
6,480008288,14347,1722344714,31.288853,981.308594,28.301792,5684.846191,8,1,1,0,0,redidlo
7,480006511,14351,1722344714,31.31904,981.070618,28.066856,6459.426758,8,1,1,0,0,redidlo
0,480007249,14891,1722344714,31.125769,980.585144,28.170343,16418.675781,9,1,1,0,0,redidlo
1,479990353,14906,1722344714,31.487879,980.867188,28.059488,19423.369141,9,1,1,0,0,redidlo
2,480026197,14922,1722344714,31.348072,980.592957,27.430353,26896.40625,9,1,1,0,0,redidlo
3,479999824,14937,1722344714,31.597652,980.828674,27.154959,9837.073242,9,1,1,0,0,redidlo
4,479999071,14952,1722344714,31.830402,980.773438,27.429075,12911.035156,9,1,1,0,0,redidlo
5,480020830,14967,1722344714,31.733952,981.260376,28.039928,10155.505859,9,1,1,0,0,redidlo
6,480008288,14983,1722344714,31.490362,981.316162,28.114374,5684.846191,9,1,1,0,0,redidlo
7,480006511,14998,1722344714,31.51886,981.033569,27.92362,6665.277832,9,1,1,0,0,redidlo
1,479990353,15703,1722344715,31.623486,980.851929,27.729952,20908.199219,0,1,1,0,0,redidlo
2,480026197,15707,1722344715,31.455149,980.573242,27.099539,28783.449219,0,1,1,0,0,redidlo
0,480007249,15842,1722344715,31.27879,980.580444,27.891403,18465.089844,0,1,1,0,0,redidlo
3,479999824,15851,1722344715,31.770416,980.844421,26.769804,11049.723633,0,1,1,0,0,redidlo
4,479999071,15855,1722344715,32.017662,980.754822,27.076059,13646.055664,0,1,1,0,0,redidlo
5,480020830,15859,1722344715,31.903006,981.257324,27.680845,10495.244141,0,1,1,0,0,redidlo
