Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
6,480008288,14392,1722344714,35.094921,985.915283,20.950626,11061.182617,7,1,1,0,0,vinegar
7,480006511,14396,1722344714,35.142815,985.781067,20.800797,17062.117188,7,1,1,0,0,vinegar
0,480007249,14925,1722344714,34.484783,985.407532,21.809551,41939.710938,8,1,1,0,0,vinegar
2,480026197,14934,1722344714,34.936462,985.341309,20.758141,65775.953125,8,1,1,0,0,vinegar
1,479990353,15070,1722344714,34.71236,985.662659,21.93401,45714.285156,8,1,1,0,0,vinegar
3,479999824,15078,1722344714,35.107292,985.58374,20.56966,26828.757812,8,1,1,0,0,vinegar
4,479999071,15083,1722344714,35.917679,985.468628,20.194019,32024.017578,8,1,1,0,0,vinegar
5,480020830,15087,1722344714,35.98098,985.975708,20.644588,28783.449219,8,1,1,0,0,vinegar
6,480008288,15092,1722344714,35.467728,985.923889,20.727402,13473.68457,8,1,1,0,0,vinegar
7,480006511,15096,1722344714,35.505466,985.811646,20.555939,19161.675781,8,1,1,0,0,vinegar
0,480007249,15636,1722344715,34.64534,985.42981,21.598272,48283.667969,9,1,1,0,0,vinegar
1,479990353,15651,1722344715,34.905731,985.69342,21.714369,50723.203125,9,1,1,0,0,vinegar
2,480026197,15667,1722344715,35.125725,985.359802,20.555111,74766.351562,9,1,1,0,0,vinegar
3,479999824,15682,1722344715,35.309677,985.598633,20.393866,30977.734375,9,1,1,0,0,vinegar
4,479999071,15697,1722344715,36.112434,985.475891,20.011957,35874.441406,9,1,1,0,0,vinegar
5,480020830,15712,1722344715,36.173103,985.979675,20.457802,31597.136719,9,1,1,0,0,vinegar
6,480008288,15728,1722344715,35.66169,985.952881,20.624207,15158.692383,9,1,1,0,0,vinegar
7,480006511,15743,1722344715,35.692959,985.809143,20.478706,20908.199219,9,1,1,0,0,vinegar
0,480007249,16446,1722344716,34.778297,985.431152,21.385313,53556.484375,0,1,1,0,0,vinegar
2,480026197,16451,1722344716,35.28759,985.391724,20.339951,83387.625,0,1,1,0,0,vinegar
1,479990353,16590,1722344716,35.043854,985.682861,21.459435,54444.917969,0,1,1,0,0,vinegar
3,479999824,16595,1722344716,35.477512,985.598022,20.184458,34538.585938,0,1,1,0,0,vinegar
