,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity,pressure,pressure,pressure,pressure,pressure,pressure,pressure,pressure,gas_resistance,gas_resistance,gas_resistance,gas_resistance,gas_resistance,gas_resistance,gas_resistance,gas_resistance
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetone,26946.0,37.384000892006235,3.1070668743317427,23.17823,35.652752,38.218586,39.682564,42.495346,26946.0,16.675872346136718,3.109006294450863,12.505932,14.5311895,15.897852499999999,17.738491250000003,36.227043,26946.0,967.7734843473613,0.7588564388366313,966.342224,967.1614685,967.7748715,968.2932435,970.281677,26946.0,83488.81792504193,354429.5103809784,5684.846191,5684.846191,5684.846191,15145.24169925,3930902.0
normal,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
redidlo,26934.0,39.94731841538575,2.815277245459689,28.45953,38.30856675,40.6785145,42.06792075,44.818905,26934.0,17.440588508984927,2.4311066164835458,13.989512,15.744,16.767587,18.486616249999997,31.728592,26934.0,979.5932831814436,0.8985749309549359,977.835205,978.9909974999999,979.534363,980.1838379999999,981.675903,26934.0,162018.3665640175,257591.04022650374,5684.846191,20043.845703,42609.855469,142777.46875,1719202.5
savo,31562.0,35.48773383641721,2.8811341943032236,22.400251,33.777392000000006,36.031459999999996,37.63533,41.152988,31562.0,19.01107184212027,2.3337202899209224,15.793254,17.39554125,18.2895725,20.01517325,33.462471,31562.0,987.1855764822888,0.5110438606009295,986.025269,986.847717,987.170593,987.54248,988.515747,31562.0,1207008.2156733237,2023931.0514357968,5684.846191,83550.914062,263917.53125,1200205.25,13117694.0
softasept,17870.0,35.88585556866256,2.4327159080225402,26.379711,34.43889875,36.4353905,37.67771225,40.402401,17870.0,18.214499358645778,2.233837333938493,14.618233,16.658710499999998,17.6719725,19.19986275,30.099112,17870.0,986.8383386199775,0.3350921282872942,986.038208,986.545044,986.8243105,987.0483857500001,987.78656,17870.0,21500.379612797034,67324.57910252167,5684.846191,5684.846191,6106.287842,13986.013672,1423210.625
vinegar,27613.0,36.755182852134865,3.2236018639073674,22.727554,35.338406,37.291603,38.993465,42.95903,27613.0,17.06093340198457,2.1239010881808724,14.439226,15.748565,16.434763,17.604057,32.148842,27613.0,985.376334380147,0.41306574262462453,984.181519,985.099304,985.455078,985.684143,986.169434,27613.0,1017634.0220039148,1665982.9383814738,5799.202637,72851.453125,254663.015625,1084171.5,8297797.0
